link,title,date,score,popularity,sentiment,signal,sector,difference
"https://gadgets.ndtv.com/apps/news/airtel-xstream-app-premium-kids-content-thanks-subscribers-2208203","Airtel Opens Access to Premium Kids Content on Xstream App for All Airtel Thanks Members | Technology News","2020-04-08","1.419952989","0.5017749040999999","0.42734014880000004","Bharti Airtel","Telecom","0.339797238525"
"https://www.ajc.com/news/local/carrollton-superintendent-promises-serious-consequences-racist-video-goes-viral/ToiocrGeUaZJjMOJKNyXIN/","Carrollton High seniors expelled after racist video goes viral","2020-04-17","3.496973288","0.5213940876","-0.1639798285","Tiktok","Social Media","0.34455570702366667"
"https://searchengineland.com/tiktok-vs-snapchat-a-guide-for-marketers-332715?utm_medium=nealschaffer","TikTok vs. Snapchat: A guide for marketers - Search Engine Land","2020-04-17","3.42042771","0.4520439857","-0.2930439618","Tiktok","Social Media","0.34455570702366667"
"https://searchengineland.com/tiktok-vs-snapchat-a-guide-for-marketers-332715","TikTok vs. Snapchat: A guide for marketers - Search Engine Land","2020-04-17","3.2587943530000003","1.130109964","-0.2930439618","Tiktok","Social Media","0.34455570702366667"
"https://scramnews.com/tiktok-investigates-britain-first-tommy-robinson-far-right-hate-videos/","TikTok investigates far-right infiltration as hate videos rack up nearly a million views - Scram News","2020-04-17","3.058601262","9.633768845","-0.3311470247","Tiktok","Social Media","0.34455570702366667"
"https://www.forbes.com/sites/isabeltogoh/2020/04/17/china-just-admitted-coronavirus-death-toll-in-wuhan-was-50-higher-than-reported/?utm_campaign=forbes&utm_source=twitter&utm_medium=social&utm_term=Gordie/#676f7264696","China Just Admitted Coronavirus Death Toll In Wuhan Was 50% Higher Than Reported","2020-04-17","3.046018142","1.242105263","-0.4747810195","LinkedIn","Social Media","0.34455570702366667"
"https://www.timeshighereducation.com/news/researchgate-chief-enthused-lockdown-research-collaboration","ResearchGate chief enthused by lockdown research collaboration | Times Higher Education (THE)","2020-04-17","3.113304546","0.01434848892","0.08211424671","Social network","Social Media","0.34455570702366667"
"https://www.indiatoday.in/television/celebrity/story/kushal-tandon-wants-tiktok-to-be-banned-china-made-it-for-people-who-are-useless-1667882-2020-04-17","Kushal Tandon wants TikTok to be banned in India - Television News","2020-04-17","1.9720641209999998","0.4480769231","0.1888217644","Tiktok","Social Media","0.34455570702366667"
"https://www.tiktok.com/@jjoshkatzz","Josh Katz(@jjoshkatzz) | TikTok","2020-04-17","1.827425646","3.733333333","0.0","Tiktok","Social Media","0.34455570702366667"
"https://www.techrepublic.com/article/understanding-the-dangers-of-social-networking-questionnaires/","Understanding the dangers of social networking questionnaires - TechRepublic","2020-04-17","1.934787298","0.06916123127","0.04974442841","Social networking service","Social Media","0.34455570702366667"
